,ts,device,val
0,1540535443083,area1,347069.30549963925
1,1540535460858,area1,347069.3812054512
2,1540535470254,area2,673204.0957081768
3,1540535470474,area1,347069.4158525808
4,1540535479547,area2,673204.199130064
5,1540535507034,area2,673204.5037099168
6,1540535507378,area1,347069.570767876
7,1540535525401,area1,347069.64967838
8,1540535525463,area2,673204.7104389936
9,1540535534894,area2,673204.8171197504
10,1540535535050,area1,347069.6865796608
11,1540535553157,area2,673205.0180311968
12,1540535553329,area2,673205.0180311968
13,1540535553485,area1,347069.7686584088
14,1540535571776,area1,347069.83433138806
15,1540535581188,area1,347069.86878697603
16,1540535581313,area2,673205.3084477095
17,1540535590364,area2,673205.4002349881
18,1540535591192,area1,347069.9025245744
19,1540535591317,area1,347069.903243396
20,1540535591569,area2,673205.4128143672
21,1540535592276,area2,673205.4208899479
22,1540535592448,area1,347069.90771216
23,1540535593230,area1,347069.9107185512
24,1540535593277,area2,673205.4309887897
25,1540535593449,area1,347069.91148236557
26,1540535594230,area2,673205.4407521704
27,1540535594372,area2,673205.4427312752
28,1540535594794,area1,347069.9170165863
29,1540535595137,area1,347069.91883536876
30,1540535595950,area1,347069.922115992
31,1540535595481,area2,673205.4527406256
32,1540535596044,area2,673205.4586849016
33,1540535596872,area2,673205.466715148
34,1540535596403,area1,347069.9241314176
35,1540535597591,area1,347069.9278460768
36,1540535598123,area1,347069.929909524
37,1540535598342,area2,673205.4808308454
38,1540535598516,area2,673205.4828426673
39,1540535598719,area1,347069.9320486728
40,1540535599832,area1,347069.9372807184
41,1540535599473,area2,673205.4929158776
42,1540535600426,area2,673205.5032914521
43,1540535600926,area1,347069.94081370643
44,1540535601192,area2,673205.5117624615
45,1540535601882,area1,347069.94479658717
46,1540535602210,area2,673205.5220010008
47,1540535602413,area2,673205.5239686039
48,1540535602694,area1,347069.9483377353
49,1540535603163,area2,673205.5302211704
50,1540535603053,area1,347069.9501502872
51,1540535603946,area1,347069.9532205432
52,1540535604259,area2,673205.5426802848
53,1540535604853,area2,673205.5489418375
54,1540535605199,area1,347069.9579838951
55,1540535605699,area2,673205.5571971711
56,1540535606262,area2,673205.5633829407
57,1540535606359,area1,347069.9626583984
58,1540535606672,area1,347069.9637092224
59,1540535606862,area2,673205.5698238072
60,1540535607190,area1,347069.9654057208
61,1540535608037,area1,347069.9702432736
62,1540535626472,area2,673205.7723668192
63,1540535626597,area1,347070.040378284
64,1540535635472,area2,673205.8663011176
65,1540535636443,area1,347070.08051997924
66,1540535636755,area2,673205.8790090104
67,1540535637318,area1,347070.0855961056
68,1540535637694,area2,673205.8894984536
69,1540535638571,area2,673205.8979692752
70,1540535638696,area1,347070.0969638376
71,1540535638664,area2,673205.9000221784
72,1540535638870,area1,347070.098262212
73,1540535640682,area2,673205.9199348864
74,1540535640823,area1,347070.1061386328
75,1540535641041,area2,673205.9238148697
76,1540535641104,area1,347070.10671155923
77,1540535641511,area1,347070.1084469784
78,1540535641589,area1,347070.1084469784
79,1540535641917,area2,673205.9317685048
80,1540535642745,area2,673205.9397588696
81,1540535643120,area2,673205.943818132
82,1540535643230,area1,347070.1157048088
83,1540535643845,area1,347070.11922978
84,1540535644439,area1,347070.1226099352
85,1540535644548,area2,673205.9581698031
86,1540535645439,area1,347070.12678754237
87,1540535645111,area2,673205.9645825953
88,1540535646848,area1,347070.1322727584
89,1540535646567,area2,673205.9792872857
90,1540535646926,area2,673205.9836436737
91,1540535647274,area2,673205.9879521222
92,1540535648024,area1,347070.1362046552
93,1540535648087,area2,673205.9965270663
94,1540535647321,area1,347070.13381146
95,1540535648774,area2,673206.00298204
96,1540535649198,area1,347070.1410416848
97,1540535650263,area2,673206.0198502567
98,1540535649825,area1,347070.144130356
99,1540535650872,area2,673206.0261377272
