ts,area1,area2
2018-10-26 06:30:00,347069.3054996392,673203.7703309809
2018-10-26 06:31:00,347069.570767876,673204.5037099168
2018-10-26 06:32:00,347069.8343313881,673205.0180311968
2018-10-26 06:33:00,347070.098262212,673205.9000221784
2018-10-26 06:34:00,347070.33947254,673206.5358550528
2018-10-26 06:35:00,347070.585095408,673207.1869098624
2018-10-26 06:36:00,347070.8406015816,673207.8330497176
2018-10-26 06:37:00,347071.0619116984,673208.459113172
2018-10-26 06:38:00,347071.2649545,673209.0821643088
2018-10-26 06:39:00,347071.4596193912,673209.6688422944
2018-10-26 06:40:00,347071.67360778,673210.2733854257
2018-10-26 06:41:00,347071.8848886424,673210.8462498001
2018-10-26 06:42:00,347072.100173476,673211.4107918192
2018-10-26 06:43:00,347072.303912352,673212.0160685456
2018-10-26 06:44:00,347072.516154948,673212.6197914608
2018-10-26 06:45:00,347072.7611652416,673213.2188719233
2018-10-26 06:46:00,347073.0184721784,673213.8159313224
2018-10-26 06:47:00,347073.237584096,673214.4724148192
2018-10-26 06:48:00,347073.4769276816,673215.1336886447
2018-10-26 06:49:00,347073.722901292,673215.7865690448
2018-10-26 06:50:00,347073.9629324824,673216.4592903984
2018-10-26 06:51:00,347074.2153485536,673217.1448216409
2018-10-26 06:52:00,347074.4573349336,673217.7903365368
2018-10-26 06:53:00,347074.7080238496,673218.4575327247
2018-10-26 06:54:00,347074.9677489032,673219.0850301745
2018-10-26 06:55:00,347075.2312130184,673219.6875403551
2018-10-26 06:56:00,347075.4420004736,673220.1778322192
2018-10-26 06:57:00,347075.7700148312,673220.9296639672
2018-10-26 06:58:00,347075.937187932,673221.3165505592
2018-10-26 06:59:00,347076.1652943672,673221.9965671337
2018-10-26 07:00:00,347076.4869910553,673222.9658283936
2018-10-26 07:01:00,347076.7083208208,673223.677318384
2018-10-26 07:02:00,347076.9306461384,673224.3810922449
2018-10-26 07:03:00,347077.1811427544,673225.0723058144
2018-10-26 07:04:00,347077.4308709024,673225.761426924
2018-10-26 07:05:00,347077.6814457064,673226.4355859543
2018-10-26 07:06:00,347077.958124592,673227.1194554945
2018-10-26 07:07:00,347078.2241209008,673227.7690257961
2018-10-26 07:08:00,347078.4869096104,673228.4478379609
2018-10-26 07:09:00,347078.7520789144,673229.1680530288
2018-10-26 07:10:00,347078.9991599992,673229.8779096425
2018-10-26 07:11:00,347079.2572108177,673230.5513356528
2018-10-26 07:12:00,347079.517416184,673231.2307352024
2018-10-26 07:13:00,347079.7775149544,673231.8623273872
2018-10-26 07:14:00,347080.0376817936,673232.4736787265
2018-10-26 07:15:00,347080.3122553336,673233.0752607296
2018-10-26 07:16:00,347080.5734494808,673233.6663167024
2018-10-26 07:17:00,347080.8497074672,673234.2562891281
2018-10-26 07:18:00,347081.1191808928,673234.8403181577
2018-10-26 07:19:00,347081.3797283904,673235.4288773207
2018-10-26 07:20:00,347081.6602789752,673236.0264228807
2018-10-26 07:21:00,347081.9427815024,673236.6464154816
2018-10-26 07:22:00,347082.2198155488,673237.2940982672
2018-10-26 07:23:00,347082.4959151432,673237.8945477097
2018-10-26 07:24:00,347082.7736642184,673238.5126611112
2018-10-26 07:25:00,347083.0524872776,673239.1286236024
2018-10-26 07:26:00,347083.3358840096,673239.7507298817
2018-10-26 07:27:00,347083.612784136,673240.3960560632
2018-10-26 07:28:00,347083.9059262424,673241.0185141136
2018-10-26 07:29:00,347084.1910919688,673241.6117252897
2018-10-26 07:30:00,347084.454823752,673242.2773769433
2018-10-26 07:31:00,347084.716846812,673242.9568260392
2018-10-26 07:32:00,347084.988648012,673243.6321207056
2018-10-26 07:33:00,347085.2444963096,673244.305528168
2018-10-26 07:34:00,347085.5051602424,673244.9633368512
2018-10-26 07:35:00,347085.7607691832,673245.6532396305
2018-10-26 07:36:00,347086.0380830416,673246.2702527664
2018-10-26 07:37:00,347086.306602208,673246.8751856664
2018-10-26 07:38:00,347086.5740577864,673247.5223672464
2018-10-26 07:39:00,347086.8385349128,673248.1906351856
2018-10-26 07:40:00,347087.0944764456,673248.8552576496
2018-10-26 07:41:00,347087.3373361632,673249.5458242856
2018-10-26 07:42:00,347087.5970873016,673250.193936332
2018-10-26 07:43:00,347087.8616375313,673250.866646232
2018-10-26 07:44:00,347088.1185788192,673251.5265186097
2018-10-26 07:45:00,347088.3651193336,673252.1708743088
2018-10-26 07:46:00,347088.6370947528,673252.8408151472
2018-10-26 07:47:00,347088.88679576,673253.4932852513
2018-10-26 07:48:00,347089.1513208552,673254.1686824831
2018-10-26 07:49:00,347089.4103247072,673254.7865900593
2018-10-26 07:50:00,347089.6667791488,673255.38737426
2018-10-26 07:51:00,347089.9540830087,673255.996276432
2018-10-26 07:52:00,347090.230390652,673256.6007972609
2018-10-26 07:53:00,347090.4935707384,673257.2768008425
2018-10-26 07:54:00,347090.772464208,673257.9694274864
2018-10-26 07:55:00,347091.0535967072,673258.6705677648
2018-10-26 07:56:00,347091.3216142688,673259.4081396791
2018-10-26 07:57:00,347091.6262265784,673260.139112152
2018-10-26 07:58:00,347091.9250534392,673260.8363030415
2018-10-26 07:59:00,347092.2337228184,673261.5590810303
2018-10-26 08:00:00,347092.5103731328,673262.2196233409
2018-10-26 08:01:00,347092.7813192984,673262.8828875376
2018-10-26 08:02:00,347093.0277290953,673263.5425613233
2018-10-26 08:03:00,347093.2634762824,673264.198239436
2018-10-26 08:04:00,347093.49600312,673264.869647376
2018-10-26 08:05:00,347093.7131770456,673265.5234308337
2018-10-26 08:06:00,347093.9404761112,673266.179092428
2018-10-26 08:07:00,347094.186255452,673266.8568642496
2018-10-26 08:08:00,347094.4301979992,673267.5197454303
2018-10-26 08:09:00,347094.6806439864,673268.1407274889
2018-10-26 08:10:00,347094.93121878,673268.8275345153
2018-10-26 08:11:00,347095.1812174432,673269.4929161055
2018-10-26 08:12:00,347095.4368455776,673270.16610958
2018-10-26 08:13:00,347095.6925095856,673270.8489004656
2018-10-26 08:14:00,347095.9262579672,673271.5130655328
2018-10-26 08:15:00,347096.1553588832,673272.1948105033
2018-10-26 08:16:00,347096.3785575024,673272.8206100937
2018-10-26 08:17:00,347096.6227185352,673273.4354714768
2018-10-26 08:18:00,347096.8708276416,673274.1111840016
2018-10-26 08:19:00,347097.1218358368,673274.7527602544
2018-10-26 08:20:00,347097.3950589216,673275.3964881888
2018-10-26 08:21:00,347097.6523376248,673276.0757538064
2018-10-26 08:22:00,347097.931560712,673276.7351553977
2018-10-26 08:23:00,347098.1984372448,673277.3759155704
2018-10-26 08:24:00,347098.4681437856,673278.0443927736
2018-10-26 08:25:00,347098.7235591168,673278.692768936
2018-10-26 08:26:00,347098.9941359567,673279.3382286464
2018-10-26 08:27:00,347099.2540103504,673280.0091756176
2018-10-26 08:28:00,347099.4946242336,673280.7033287495
2018-10-26 08:29:00,347099.7406006808,673281.3860602065
2018-10-26 08:30:00,347099.9732965904,673282.0265525111
2018-10-26 08:31:00,347100.1944116056,673282.7019138087
2018-10-26 08:32:00,347100.4125933592,673283.3994391311
2018-10-26 08:33:00,347100.6351768904,673284.0902715288
2018-10-26 08:34:00,347100.8659802016,673284.7986684559
2018-10-26 08:35:00,347101.0992603464,673285.4809558848
2018-10-26 08:36:00,347101.3284147736,673286.1883787321
2018-10-26 08:37:00,347101.5568954776,673286.8515284919
2018-10-26 08:38:00,347101.794836576,673287.4779911344
2018-10-26 08:39:00,347102.020974808,673288.1023788016
2018-10-26 08:40:00,347102.2489386168,673288.7398267329
2018-10-26 08:41:00,347102.4635089072,673289.3593990552
2018-10-26 08:42:00,347102.6627708256,673289.9808176383
2018-10-26 08:43:00,347102.8861727015,673290.5952805089
2018-10-26 08:44:00,347103.1404680944,673291.2124483543
2018-10-26 08:45:00,347103.3773502408,673291.8451100583
2018-10-26 08:46:00,347103.6272751592,673292.4781468111
2018-10-26 08:47:00,347103.8726735464,673293.11981554
