ts,vehicles
2018-11-01 00:00:00,0
2018-11-01 01:00:00,0
2018-11-01 02:00:00,0
2018-11-01 03:00:00,21
2018-11-01 04:00:00,27
2018-11-01 05:00:00,44
2018-11-01 06:00:00,64
2018-11-01 07:00:00,79
2018-11-01 08:00:00,167
2018-11-01 09:00:00,265
2018-11-01 10:00:00,325
2018-11-01 11:00:00,281
2018-11-01 12:00:00,190
2018-11-01 13:00:00,234
2018-11-01 14:00:00,269
2018-11-01 15:00:00,265
2018-11-01 16:00:00,271
2018-11-01 17:00:00,229
2018-11-01 18:00:00,162
2018-11-01 19:00:00,92
2018-11-01 20:00:00,96
2018-11-01 21:00:00,1
2018-11-01 22:00:00,0
2018-11-01 23:00:00,0
2018-11-02 00:00:00,0
2018-11-02 01:00:00,0
2018-11-02 02:00:00,0
2018-11-02 03:00:00,17
2018-11-02 04:00:00,52
2018-11-02 05:00:00,132
2018-11-02 06:00:00,245
2018-11-02 07:00:00,288
2018-11-02 08:00:00,331
2018-11-02 09:00:00,471
2018-11-02 10:00:00,468
2018-11-02 11:00:00,424
2018-11-02 12:00:00,319
2018-11-02 13:00:00,377
2018-11-02 14:00:00,387
2018-11-02 15:00:00,429
2018-11-02 16:00:00,409
2018-11-02 17:00:00,344
2018-11-02 18:00:00,257
2018-11-02 19:00:00,141
2018-11-02 20:00:00,119
2018-11-02 21:00:00,0
2018-11-02 22:00:00,0
2018-11-02 23:00:00,0
2018-11-03 00:00:00,0
2018-11-03 01:00:00,0
2018-11-03 02:00:00,0
2018-11-03 03:00:00,23
2018-11-03 04:00:00,49
2018-11-03 05:00:00,85
2018-11-03 06:00:00,101
2018-11-03 07:00:00,154
2018-11-03 08:00:00,248
2018-11-03 09:00:00,355
2018-11-03 10:00:00,356
2018-11-03 11:00:00,338
2018-11-03 12:00:00,237
2018-11-03 13:00:00,289
2018-11-03 14:00:00,302
2018-11-03 15:00:00,316
2018-11-03 16:00:00,313
2018-11-03 17:00:00,290
2018-11-03 18:00:00,227
2018-11-03 19:00:00,142
2018-11-03 20:00:00,124
2018-11-03 21:00:00,3
2018-11-03 22:00:00,0
2018-11-03 23:00:00,0
2018-11-04 00:00:00,0
2018-11-04 01:00:00,0
2018-11-04 02:00:00,0
2018-11-04 03:00:00,11
2018-11-04 04:00:00,13
2018-11-04 05:00:00,27
2018-11-04 06:00:00,49
2018-11-04 07:00:00,84
2018-11-04 08:00:00,183
2018-11-04 09:00:00,315
2018-11-04 10:00:00,301
2018-11-04 11:00:00,274
2018-11-04 12:00:00,240
2018-11-04 13:00:00,278
2018-11-04 14:00:00,291
2018-11-04 15:00:00,331
2018-11-04 16:00:00,307
2018-11-04 17:00:00,268
2018-11-04 18:00:00,211
2018-11-04 19:00:00,151
2018-11-04 20:00:00,109
2018-11-04 21:00:00,2
2018-11-04 22:00:00,0
